ASV	Kingdom	Phylum	Class	Order	Family	Genus	gillis_1_1.filt.fastq.gz	gillis_10_1.filt.fastq.gz	gillis_11_1.filt.fastq.gz	gillis_12_1.filt.fastq.gz	gillis_13_1.filt.fastq.gz	gillis_14_1.filt.fastq.gz	gillis_15_1.filt.fastq.gz	gillis_16_1.filt.fastq.gz	gillis_17_1.filt.fastq.gz	gillis_18_1.filt.fastq.gz	gillis_19_1.filt.fastq.gz	gillis_2_1.filt.fastq.gz	gillis_20_1.filt.fastq.gz	gillis_3_1.filt.fastq.gz	gillis_4_1.filt.fastq.gz	gillis_5_1.filt.fastq.gz	gillis_6_1.filt.fastq.gz	gillis_7_1.filt.fastq.gz	gillis_8_1.filt.fastq.gz	gillis_9_1.filt.fastq.gz
ASV882	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Pseudolabrys	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0
ASV883	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	50	0
ASV884	Bacteria	Pseudomonadota	Deltaproteobacteria	NA	NA	NA	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV885	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA	0	0	0	25	0	0	0	0	0	0	28	0	0	16	0	0	0	0	0	0
ASV886	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
ASV887	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	37	0
ASV888	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0	0	0	0	34	0
ASV889	Bacteria	Verrucomicrobiota	Spartobacteria	NA	NA	NA	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	30	0	0
ASV89	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	57	0	0	62	55	51	83	0	43	0	54	40	0	0	35	0	48	21	51	0
ASV890	Bacteria	Acidobacteriota	Acidobacteria_Gp5	Gp5	NA	NA	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	31	0	0
ASV891	Bacteria	Bacillota	Bacilli	Caryophanales	Alicyclobacillaceae	Tumebacillus	20	0	0	0	13	0	0	0	0	18	0	0	17	0	0	0	0	0	0	0
ASV892	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0
ASV893	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0
ASV894	Bacteria	Acidobacteriota	Acidobacteria_Gp7	Gp7	NA	NA	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	24
ASV895	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	30	0	0
ASV896	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0
ASV897	Bacteria	Actinomycetota	NA	NA	NA	NA	0	0	0	0	0	11	0	0	0	0	0	0	0	56	0	0	0	0	0	0
ASV898	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	15	0	0	16	0	15	0	0	0	0	0	0	0	21
ASV899	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0
ASV9	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Ectobacillus	75	161	45	279	145	97	242	0	136	28	45	64	0	277	82	126	149	0	269	77
